2021-07-07 11:19:01 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding alias 'service-lizhuFeignClient' definition for registered name 'com.wondersgroup.cloud.view.sjjg.service.BaseDicService' with new target name 'com.wondersgroup.cloud.view.sjjg.service.DicIcdTransformService'
2021-07-07 11:19:01 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding alias 'service-lizhuFeignClient' definition for registered name 'com.wondersgroup.cloud.view.sjjg.service.DicIcdTransformService' with new target name 'com.wondersgroup.cloud.view.sjjg.service.DiseaseSetService'
2021-07-07 11:19:01 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding alias 'service-lizhuFeignClient' definition for registered name 'com.wondersgroup.cloud.view.sjjg.service.DiseaseSetService' with new target name 'com.wondersgroup.cloud.view.sjjg.service.DrgsGroupDicService'
2021-07-07 11:19:01 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding alias 'service-lizhuFeignClient' definition for registered name 'com.wondersgroup.cloud.view.sjjg.service.DrgsGroupDicService' with new target name 'com.wondersgroup.cloud.view.sjjg.service.DrgsICD10Service'
2021-07-07 11:19:01 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding alias 'service-lizhuFeignClient' definition for registered name 'com.wondersgroup.cloud.view.sjjg.service.DrgsICD10Service' with new target name 'com.wondersgroup.cloud.view.sjjg.service.DrgsICD9Service'
2021-07-07 11:19:01 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding alias 'service-lizhuFeignClient' definition for registered name 'com.wondersgroup.cloud.view.sjjg.service.DrgsICD9Service' with new target name 'com.wondersgroup.cloud.view.sjjg.service.OperCodeMTService'
2021-07-07 11:19:01 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding alias 'service-lizhuFeignClient' definition for registered name 'com.wondersgroup.cloud.view.sjjg.service.OperCodeMTService' with new target name 'com.wondersgroup.cloud.view.sjjg.service.ZzjgDicService'
2021-07-07 11:19:03 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=713863b0-b401-3063-8cb0-c4d849dd7dfe
2021-07-07 11:19:03 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2021-07-07 11:19:04 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-07-07 11:19:06 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2021-07-07 11:19:06 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2021-07-07 11:19:06 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-07 11:19:06 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.31
2021-07-07 11:19:06 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\sofe\jdk8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\IBM\CICS Transaction Gateway\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;D:\sofe\TortoiseSVN\bin;D:\sofe\Calibre2\;D:\sofe\apache-maven-3.6.1\bin;D:\sofe\Git\cmd;D:\sofe\nodejs\;D:\sofe\nodejs\node_global;D:\sofe\Redis\;D:\sofe\Xshell 7\;D:\sofe\Xftp 7\;D:\sofe\Borland\Delphi7\Bin;D:\sofe\Borland\Delphi7\Projects\Bpl;D:\sofe\Borland\Delphi6\Bin;D:\sofe\Borland\Delphi6\Projects\Bpl;C:\PROGRA~2\Borland\Delphi6\Bin;C:\PROGRA~2\Borland\Delphi6\Projects\Bpl;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Users\lizhu\AppData\Local\Microsoft\WindowsApps;C:\Users\lizhu\AppData\Roaming\npm;;.]
2021-07-07 11:19:07 [localhost-startStop-1] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2021-07-07 11:19:07 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-07 11:19:07 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 8643 ms
2021-07-07 11:19:08 [localhost-startStop-1] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-07-07 11:19:08 [localhost-startStop-1] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-07-07 11:19:08 [localhost-startStop-1] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@352244a
2021-07-07 11:19:12 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
2021-07-07 11:19:12 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2021-07-07 11:19:12 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2021-07-07 11:19:12 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2021-07-07 11:19:12 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2021-07-07 11:19:12 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpTraceFilter' to: [/*]
2021-07-07 11:19:12 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'webMvcMetricsFilter' to: [/*]
